angle_deg,Bn_T,Bt_T
2.450000000000000000e+02,5.512715880754786024e-01,-1.715646818957893560e-01
2.460000000000000000e+02,7.358644383154870905e-01,-5.368268293743011510e-02
2.470000000000000000e+02,8.040921407303540658e-01,-1.962017826528572595e-02
2.480000000000000000e+02,8.318752978684997856e-01,-8.208568989239939384e-03
2.490000000000000000e+02,8.446898251727312790e-01,-3.928629822529450255e-03
2.500000000000000000e+02,8.511982260195052330e-01,-2.354205934102571174e-03
2.510000000000000000e+02,8.561758598857276414e-01,-2.787739070265415897e-03
2.520000000000000000e+02,8.643225006040746727e-01,-6.005966149339292404e-03
2.530000000000000000e+02,8.846491321835092680e-01,-2.034239836123244438e-02
2.540000000000000000e+02,9.120365093796083400e-01,-1.185297716122653833e-01
2.550000000000000000e+02,6.969693135434833486e-01,-1.565289207948784567e-01
2.560000000000000000e+02,6.708439502669641952e-01,-2.349676457862007184e-02
2.570000000000000000e+02,6.677546480948919339e-01,1.371881202783992171e-02
2.580000000000000000e+02,6.040764083852976363e-01,5.763766248643824308e-02
2.590000000000000000e+02,4.293211457013129673e-01,2.095876714069247748e-01
2.600000000000000000e+02,8.164303622347422740e-02,3.357698170828021245e-01
2.610000000000000000e+02,-2.927816240575210199e-02,2.443568445983298476e-01
2.620000000000000000e+02,-1.490947391863574334e-01,2.895071232932743266e-01
2.630000000000000000e+02,-5.750072806753907528e-01,1.598182928251533630e-01
2.640000000000000000e+02,-7.447040121598220708e-01,4.267066578427769485e-02
2.650000000000000000e+02,-7.983652410481506534e-01,-1.381655440583836464e-02
2.660000000000000000e+02,-9.006697685765581163e-01,-3.820567855938007684e-02
2.670000000000000000e+02,-9.042825430783087981e-01,-3.707851815290645614e-03
2.680000000000000000e+02,-9.020857145248203368e-01,-6.060531939051441719e-04
2.690000000000000000e+02,-9.020170108115674878e-01,3.765630226460273122e-05
2.700000000000000000e+02,-9.021568275313460727e-01,-1.400976813673731106e-04
2.710000000000000000e+02,-9.022103101520035917e-01,7.759035195778821170e-05
2.720000000000000000e+02,-9.027235706674293647e-01,7.871742080884161497e-04
2.730000000000000000e+02,-9.059016079661431631e-01,4.828559507752842872e-03
2.740000000000000000e+02,-9.023676933004216583e-01,4.519001423490570657e-02
2.750000000000000000e+02,-7.915753068717974461e-01,2.118351884876616686e-02
2.760000000000000000e+02,-7.400160833030043905e-01,-4.229034281267640694e-02
2.770000000000000000e+02,-5.704013696223401153e-01,-1.521091768928364840e-01
2.780000000000000000e+02,-1.467926096342502817e-01,-2.714855913714196434e-01
2.790000000000000000e+02,-1.664446112766247363e-02,-2.240731283531946227e-01
2.800000000000000000e+02,1.012910335074778401e-01,-3.056094330899222222e-01
2.810000000000000000e+02,4.795598238696712201e-01,-1.914130899009303666e-01
2.820000000000000000e+02,6.454063514563784798e-01,-5.198697613234841419e-02
2.830000000000000000e+02,7.023878058243286926e-01,-8.302547935957388381e-03
2.840000000000000000e+02,6.920585726408430283e-01,4.379260204986479277e-02
2.850000000000000000e+02,7.480761406541712732e-01,2.056386225410433977e-01
2.860000000000000000e+02,9.981169473414059912e-01,1.555251046581644370e-01
2.870000000000000000e+02,9.739754620423558551e-01,2.878070786100744849e-02
2.880000000000000000e+02,9.469275335584063091e-01,8.430421958666944882e-03
2.890000000000000000e+02,9.360541845487307944e-01,3.551879685895487082e-03
2.900000000000000000e+02,9.297651244120359593e-01,2.892746177009575259e-03
2.910000000000000000e+02,9.231906374904614854e-01,3.909201859505606613e-03
2.920000000000000000e+02,9.114811853029192168e-01,8.203879068088115734e-03
2.930000000000000000e+02,8.849576346391956339e-01,1.860975620505134209e-02
2.940000000000000000e+02,8.218518423299162601e-01,4.727543825063201810e-02
2.950000000000000000e+02,6.473620998078331024e-01,1.483153546290963409e-01
2.960000000000000000e+02,1.896080507687053773e-01,2.591581390224789727e-01
2.970000000000000000e+02,5.642654911260956696e-02,2.370934776905375407e-01
2.980000000000000000e+02,-4.898120259433685897e-02,3.402491205064233637e-01
2.990000000000000000e+02,-3.916984174421377918e-01,2.518743194473115898e-01
3.000000000000000000e+02,-5.298622162798765078e-01,7.547273889161276728e-02
3.010000000000000000e+02,-6.040404072914888900e-01,2.143120110526286481e-02
3.020000000000000000e+02,-6.265220989852440248e-01,1.263311560284974266e-03
3.030000000000000000e+02,-6.106178302387447188e-01,-2.771267619861328413e-02
3.040000000000000000e+02,-5.908114762045413304e-01,-1.353609293571384486e-01
3.050000000000000000e+02,-7.238119711114279209e-01,-2.897247430828995829e-01
3.060000000000000000e+02,-9.883832164579111623e-01,-1.949187064837598071e-01
3.070000000000000000e+02,-9.584909097172071846e-01,-3.781308776005087857e-02
3.080000000000000000e+02,-9.204394148868723091e-01,-1.212739413634389418e-02
3.090000000000000000e+02,-9.024701580184948391e-01,-7.525414090909676723e-03
3.100000000000000000e+02,-8.860110704697248263e-01,-9.237563445687824171e-03
3.110000000000000000e+02,-8.590659384503759322e-01,-1.852491401026257201e-02
3.120000000000000000e+02,-7.957339998371179002e-01,-4.805744740658579595e-02
3.130000000000000000e+02,-6.232681387326699518e-01,-1.421621386297590994e-01
3.140000000000000000e+02,-1.395100494871882035e-01,-2.265123810996348408e-01
3.150000000000000000e+02,1.617562215969553518e-02,-2.801205012478629186e-01
3.160000000000000000e+02,9.626655020629856785e-02,-4.088687473341170997e-01
3.170000000000000000e+02,3.926416435081411804e-01,-3.165391056303404338e-01
3.180000000000000000e+02,4.854953967892260414e-01,-1.305199431775647956e-01
3.190000000000000000e+02,5.603603884029964011e-01,-3.572081084803657713e-02
3.200000000000000000e+02,5.998645071917498850e-01,-9.998768401381197268e-03
3.210000000000000000e+02,6.077055360850581733e-01,2.033180856716054752e-03
3.220000000000000000e+02,5.912752252825593802e-01,2.177830601218988527e-02
3.230000000000000000e+02,5.631564187428167445e-01,9.960938446285635961e-02
3.240000000000000000e+02,6.068070653361383737e-01,2.317299772449293582e-01
3.250000000000000000e+02,7.804961710989783974e-01,3.703465587804749548e-01
3.260000000000000000e+02,1.075984871678892008e+00,2.513061271668442509e-01
3.270000000000000000e+02,1.049921251372517128e+00,5.882595697968984183e-02
3.280000000000000000e+02,9.945731504614977458e-01,2.297433239929957960e-02
3.290000000000000000e+02,9.520465003454737785e-01,2.276638789829987797e-02
3.300000000000000000e+02,8.869336250653796494e-01,4.418515436662356910e-02
3.310000000000000000e+02,7.234623204297168098e-01,1.276171008492040793e-01
3.320000000000000000e+02,2.719398624007589582e-01,1.652878976558674329e-01
3.330000000000000000e+02,3.440608601818217344e-02,9.979994929943186710e-02
3.340000000000000000e+02,-2.408355719754320667e-01,2.882531960625480671e-01
3.350000000000000000e+02,-4.861467558703306269e-01,4.258465884448109362e-01
3.360000000000000000e+02,-4.642470347071736558e-01,2.529405955349250945e-01
3.370000000000000000e+02,-4.644510744062681495e-01,1.147635819053924311e-01
3.380000000000000000e+02,-5.065294235490999109e-01,3.112546711088540197e-02
3.390000000000000000e+02,-5.365517422615897480e-01,8.955844936452100891e-03
3.400000000000000000e+02,-5.457983472472076603e-01,7.654666272401133842e-04
3.410000000000000000e+02,-5.403272991135762426e-01,-7.357730334805717698e-03
3.420000000000000000e+02,-5.163025263404122933e-01,-3.280105588785200976e-02
3.430000000000000000e+02,-4.999604464997909337e-01,-1.160496716565136144e-01
3.440000000000000000e+02,-5.509329089053561779e-01,-2.345958364788093831e-01
3.450000000000000000e+02,-7.184918264332645910e-01,-3.584565078883568123e-01
3.460000000000000000e+02,-9.925372433903647540e-01,-2.326881447860349450e-01
3.470000000000000000e+02,-9.332193218304405402e-01,-6.284554442279577380e-02
3.480000000000000000e+02,-8.310572214083898901e-01,-5.551395785589795240e-02
3.490000000000000000e+02,-6.594396547450700474e-01,-1.260783812797524883e-01
3.500000000000000000e+02,-2.123933460171688048e-01,-1.743823762875192918e-01
3.510000000000000000e+02,7.823827192777625672e-03,-8.243447778710839835e-02
3.520000000000000000e+02,2.307699650002721092e-01,-1.775840268730377314e-01
3.530000000000000000e+02,7.189185755578605397e-01,-1.642339256674145709e-01
3.540000000000000000e+02,9.199299530697556682e-01,-2.506719991517236124e-01
3.550000000000000000e+02,7.025996732212118623e-01,-3.566242280148354538e-01
3.560000000000000000e+02,5.543069286703378173e-01,-2.218242677300899524e-01
3.570000000000000000e+02,5.239313809944532441e-01,-9.465078458283847362e-02
3.580000000000000000e+02,5.568554227630747588e-01,-2.315051344835085401e-02
3.590000000000000000e+02,5.781593957583693877e-01,-5.628355548748615808e-03
