t_s,torque_cmd_nm,torque_em_nm,copper_loss_w,core_loss_w,magnet_loss_w,total_loss_w,temp_c,phase_res_ohm
5.500000000000000548e-03,1.827624010285762424e+01,1.822547223295005381e+01,1.204819130651294401e+01,1.402179381253132306e+03,2.343017086326782646e+03,3.757244658886427715e+03,2.500799289803475034e+01,2.349233427057249510e-02
5.599999999999999943e-03,1.828125443082121393e+01,1.823216609669459487e+01,1.205704978269274363e+01,1.402322674482730463e+03,2.343366456471747824e+03,3.757746180737171017e+03,2.500813742605085466e+01,2.349234735481465358e-02
5.700000000000000205e-03,1.828626831464567104e+01,1.823865836284872088e+01,1.206564478795777262e+01,1.402464966376669054e+03,2.343714171653332869e+03,3.758244782817959731e+03,2.500828197323161106e+01,2.349236044080220409e-02
5.800000000000000468e-03,1.829128174641338234e+01,1.824497316887648424e+01,1.207400798398935393e+01,1.402606377487130430e+03,2.344060433093117808e+03,3.758740818564237543e+03,2.500842653947831096e+01,2.349237352852497421e-02
5.899999999999999863e-03,1.829629471820745934e+01,1.825113175479619798e+01,1.208216724809379805e+01,1.402747013904244113e+03,2.344405417880126151e+03,3.759234599032463848e+03,2.500857112470421129e+01,2.349238661797403704e-02
6.000000000000000125e-03,1.830130722211173122e+01,1.825715281087406439e+01,1.209014712445749851e+01,1.402886968990184187e+03,2.344749281863474152e+03,3.759726397978115529e+03,2.500871572883309568e+01,2.349239970914152736e-02
6.100000000000000387e-03,1.830631925021077322e+01,1.826305278359447115e+01,1.209796922180032297e+01,1.403026324905356205e+03,2.345092162198332062e+03,3.760216456325488252e+03,2.500886035179802036e+01,2.349241280202054444e-02
6.200000000000000649e-03,1.831133079458990665e+01,1.826884614491392256e+01,1.210565256374736798e+01,1.403165153951605134e+03,2.345434179586747177e+03,3.760704986102099610e+03,2.500900499354019146e+01,2.349242589660503755e-02
6.300000000000000044e-03,1.831634184733522019e+01,1.827454562920447856e+01,1.211321389750471056e+01,1.403303519754372928e+03,2.345775440249883104e+03,3.761192173901760725e+03,2.500914965400799161e+01,2.349243899288967416e-02
6.400000000000000307e-03,1.832135240053357705e+01,1.828016244176397009e+01,1.212066796577331829e+01,1.403441478303112490e+03,2.346116037663863153e+03,3.761678183932748652e+03,2.500929433315612016e+01,2.349245209086978439e-02
6.500000000000000569e-03,1.832636244627262911e+01,1.828570644230500974e+01,1.212802774625737889e+01,1.403579078866948976e+03,2.346456054087548637e+03,3.762163160700754815e+03,2.500943903094483645e+01,2.349246519054127083e-02
6.599999999999999964e-03,1.833137197664083473e+01,1.829118630642530619e+01,1.213530466261242324e+01,1.403716364800551901e+03,2.346795561907199954e+03,3.762647231370364352e+03,2.500958374733928835e+01,2.349247829190052525e-02
6.700000000000000226e-03,1.833638098372745517e+01,1.829660966770156705e+01,1.214250877022580788e+01,1.403853374253373659e+03,2.347134624819949750e+03,3.763130507843548912e+03,2.500972848230892609e+01,2.349249139494439739e-02
6.800000000000000488e-03,1.834138945962258660e+01,1.830198324273208499e+01,1.214964891982220863e+01,1.403990140793843921e+03,2.347473298875411274e+03,3.763613088589077506e+03,2.500987323582699418e+01,2.349250449967012558e-02
6.900000000000000751e-03,1.834639739641716716e+01,1.830731294117429897e+01,1.215673290153318398e+01,1.404126693958711485e+03,2.347811633392431304e+03,3.764095060252675921e+03,2.501001800787005891e+01,2.349251760607527426e-02
7.000000000000000146e-03,1.835140478620297344e+01,1.831260396257773948e+01,1.216376757175756040e+01,1.404263059736520518e+03,2.348149671765956100e+03,3.764576499074234107e+03,2.501016279841762824e+01,2.349253071415773747e-02
7.100000000000000408e-03,1.835641162107265600e+01,1.831786088159713088e+01,1.217075896486354658e+01,1.404399260993103553e+03,2.348487452177164414e+03,3.765057472135131320e+03,2.501030760745178583e+01,2.349254382391564866e-02
7.200000000000000670e-03,1.836141789311974293e+01,1.832308772297984234e+01,1.217771239154032337e+01,1.404535317846056159e+03,2.348825008218487710e+03,3.765538038456083996e+03,2.501045243495688908e+01,2.349255693534738759e-02
7.300000000000000065e-03,1.836642359443864336e+01,1.832828802755489761e+01,1.218463252539176800e+01,1.404671247994303940e+03,2.349162369443690295e+03,3.766018249963386097e+03,2.501059728091928491e+01,2.349257004845154567e-02
7.400000000000000328e-03,1.837142871712467240e+01,1.833346491030327030e+01,1.219152347917599144e+01,1.404807067008148124e+03,2.349499561852023817e+03,3.766498152339348053e+03,2.501074214532708595e+01,2.349258316322687737e-02
7.500000000000000590e-03,1.837643325327405819e+01,1.833862111145976570e+01,1.219838887192691068e+01,1.404942788584531627e+03,2.349836608314330078e+03,3.766977785770788614e+03,2.501088702816994669e+01,2.349259627967231062e-02
7.599999999999999985e-03,1.838143719498395612e+01,1.834375904148267011e+01,1.220523188804714998e+01,1.405078424771690834e+03,2.350173528948071180e+03,3.767457185607809151e+03,2.501103192943887876e+01,2.349260939778690868e-02
7.700000000000000247e-03,1.838644053435245596e+01,1.834888082062704484e+01,1.221205532933152149e+01,1.405213986166873156e+03,2.350510341447403334e+03,3.767936382943607896e+03,2.501117684912609107e+01,2.349262251756985276e-02
7.800000000000000509e-03,1.839144326347860670e+01,1.835398831376923212e+01,1.221886166076612135e+01,1.405349482090335869e+03,2.350847061373673569e+03,3.768415405124775589e+03,2.501132178722484767e+01,2.349263563902044549e-02
7.900000000000000772e-03,1.839644537446241301e+01,1.835908316105241411e+01,1.222565305084703979e+01,1.405484920738486608e+03,2.351183702411099603e+03,3.768894276200433524e+03,2.501146674372933632e+01,2.349264876213806932e-02
8.000000000000000167e-03,1.840144685940486013e+01,1.836416680485470820e+01,1.223243140707415044e+01,1.405620309318655927e+03,2.351520276591798392e+03,3.769373017317528138e+03,2.501161171863455479e+01,2.349266188692221077e-02
8.099999999999999561e-03,1.840644771040792094e+01,1.836924051352109188e+01,1.223919840719687535e+01,1.405755654167707007e+03,2.351856794493834968e+03,3.769851647068739112e+03,2.501175671193621852e+01,2.349267501337239800e-02
8.200000000000000691e-03,1.841144791957456661e+01,1.837430540224750786e+01,1.224595552672016296e+01,1.405890960856424044e+03,2.352193265415531641e+03,3.770330181798675767e+03,2.501190172363067177e+01,2.349268814148825629e-02
8.300000000000000086e-03,1.841644747900878443e+01,1.837936245145886005e+01,1.225270406311804017e+01,1.406026234281379857e+03,2.352529697528877932e+03,3.770808635873375806e+03,2.501204675371480946e+01,2.349270127126944913e-02
8.400000000000001216e-03,1.842144638081559194e+01,1.838441252298166972e+01,1.225944515714862959e+01,1.406161478745788827e+03,2.352866098014558247e+03,3.771287021917495622e+03,2.501219180218601679e+01,2.349271440271570588e-02
8.500000000000000611e-03,1.842644461710104054e+01,1.838945637427599422e+01,1.226617981161753157e+01,1.406296698030661446e+03,2.353202473180780544e+03,3.771765351023059338e+03,2.501233686904209819e+01,2.349272753582677328e-02
8.600000000000000006e-03,1.843144217997222611e+01,1.839449467095954205e+01,1.227290890789493538e+01,1.406431895457428027e+03,2.353538828567866858e+03,3.772243632933189929e+03,2.501248195428123822e+01,2.349274067060246052e-02
